filename,c_min,c_max,r_min,r_max
0003d5dfa8f0dd41.jpg,155,238,55,138
0003d5dfa8f0dd41.jpg,164,237,178,251
0003d5dfa8f0dd41.jpg,427,531,356,460
0003d5dfa8f0dd41.jpg,703,801,97,195
0003d5dfa8f0dd41.jpg,386,544,131,289
0007ad5c6245a41d.jpg,614,966,105,457
0007ad5c6245a41d.jpg,137,545,171,579
000cc0cd61c6c8d7.jpg,182,437,336,591
001ea8a8ca78a3bc.jpg,628,740,200,312
001ea8a8ca78a3bc.jpg,502,556,567,621
00430ce61009c131.jpg,659,780,408,529
00430ce61009c131.jpg,236,306,153,223
0046c490ad699ce9.jpg,80,174,409,503
0046c490ad699ce9.jpg,718,881,164,327
004a688b02428848.jpg,77,402,640,965
005feff8c814fb4c.jpg,507,878,89,460
005feff8c814fb4c.jpg,153,535,124,506
006f325ad71643a2.jpg,374,452,389,467
00790ccfad100384.jpg,247,323,195,271
00790ccfad100384.jpg,639,722,241,324
00790ccfad100384.jpg,292,370,608,686
00790ccfad100384.jpg,287,347,411,471
007e2d0680208072.jpg,344,602,194,452
0081d67c4cfc9134.jpg,463,518,342,397
0081d67c4cfc9134.jpg,554,681,356,483
00824274fbef9c93.jpg,297,353,437,493
00824274fbef9c93.jpg,57,129,260,332
00824274fbef9c93.jpg,234,512,12,290
0084d707a9cca12b.jpg,317,372,307,362
0084d707a9cca12b.jpg,158,236,253,331
0084d707a9cca12b.jpg,129,208,540,619
0084d707a9cca12b.jpg,657,717,363,423
0097fb7387049d8b.jpg,441,725,116,400
0098312a40cabb46.jpg,537,594,687,744
0098312a40cabb46.jpg,108,438,173,503
00b242e2ccf93adc.jpg,820,875,230,285
00b242e2ccf93adc.jpg,91,153,16,78
00b242e2ccf93adc.jpg,690,763,183,256
00d5b7d68d52ac56.jpg,327,446,250,369
00e64d002478816c.jpg,822,926,475,579
01001bfe5b392d42.jpg,288,373,131,216
0102781693a55cdd.jpg,374,446,901,973
0102781693a55cdd.jpg,328,383,326,381
0102781693a55cdd.jpg,375,495,663,783
0102781693a55cdd.jpg,542,603,341,402
010c887b686452d1.jpg,212,267,458,513
010c887b686452d1.jpg,866,922,709,765
010c887b686452d1.jpg,864,927,623,686
010c887b686452d1.jpg,624,682,455,513
010c887b686452d1.jpg,516,569,510,563
010c887b686452d1.jpg,349,412,427,490
010c887b686452d1.jpg,125,178,398,451
010c887b686452d1.jpg,790,840,394,444
010c887b686452d1.jpg,514,572,395,453
010ee894cfeb8e2d.jpg,231,722,86,577
010ee894cfeb8e2d.jpg,912,970,439,497
012b82dc2bafea70.jpg,587,639,539,591
013543040c660f1e.jpg,258,348,233,323
014b97550b9f539c.jpg,514,565,367,418
014b97550b9f539c.jpg,258,326,287,355
0199667204375f07.jpg,661,720,112,171
0199667204375f07.jpg,280,355,194,269
0199667204375f07.jpg,445,510,200,265
0199bbd8f37992b9.jpg,352,675,165,488
01a105e0cd997b28.jpg,284,339,104,159
01a105e0cd997b28.jpg,62,122,606,666
